backward_nfe,epoch,forward_nfe,loss,train_time,ts_loss,ts_nfe,va_loss,va_nfe
1647.894737,71,1546.684211,2.5254586,86.77495956,nan,nan,2.5416458,1634
1653.736842,72,1559.315789,2.524414,86.44259858,nan,nan,2.5986824,1628
1654.684211,73,1571,2.5256734,86.67952847,nan,nan,2.5711958,1652
1655.631579,74,1584.736842,2.5182147,87.11106801,nan,nan,2.540659,1634
1655.157895,75,1590.105263,2.5010145,87.27434731,nan,nan,2.5499744,1658
1657.842105,76,1596.421053,2.5157156,87.83282185,nan,nan,2.5455186,1658
1657.526316,77,1611.263158,2.5215724,87.90159702,nan,nan,2.5799162,1670
1657.526316,78,1617.736842,2.5148277,88.12543035,nan,nan,2.5897834,1658
1658,79,1627.842105,2.5088181,88.10503292,2.5929174,1676,2.536849,1658
1658,80,1636.526316,2.5029852,88.03721142,nan,nan,2.551485,1646
1657.684211,81,1638.263158,2.4945977,88.35294747,nan,nan,2.5263066,1664
1657.684211,82,1646.473684,2.496351,88.56241131,nan,nan,2.5403087,1670
1658,83,1648.842105,2.4990075,88.24880695,nan,nan,2.5411108,1664
1658,84,1656.421053,2.492441,88.54912663,nan,nan,2.5355272,1670
1658,85,1657.368421,2.496017,88.42682219,nan,nan,2.5615287,1670
1658,86,1664.947368,2.487573,88.49031258,nan,nan,2.5641153,1670
1658,87,1664.631579,2.4832225,88.51568913,nan,nan,2.5252218,1670
1658,88,1666.842105,2.4809792,88.39995646,nan,nan,2.5102901,1670
1658,89,1668.263158,2.483638,88.53202915,nan,nan,2.5180674,1676
1658,90,1670.315789,2.4815934,88.74032283,nan,nan,2.5370457,1676
1658,91,1672.052632,2.4794767,88.43134975,nan,nan,2.526553,1676
1658,92,1673.789474,2.4662876,89.02305293,nan,nan,2.5384583,1670
1658,93,1674.263158,2.4726472,88.91944766,nan,nan,2.5381925,1670
1658,94,1674.578947,2.462496,89.08345246,nan,nan,2.5022166,1676
1658,95,1675.210526,2.463393,88.89104676,nan,nan,2.5762975,1676
1658,96,1676.473684,2.4776423,88.91418958,nan,nan,2.5442052,1676
1658,97,1677.105263,2.4699755,88.96979094,nan,nan,2.511035,1676
1658,98,1678.210526,2.4643598,88.95395064,nan,nan,2.562341,1676
1658,99,1678.842105,2.4663208,89.01308465,2.5685863,1676,2.5077446,1676
1658,100,1678.684211,2.462129,88.80748796,nan,nan,2.509347,1676
1658,101,1678.684211,2.4594734,88.92436075,nan,nan,2.5288575,1676
1658,102,1678.842105,2.4536045,88.76671553,nan,nan,2.5105166,1676
1658,103,1678.684211,2.4474838,88.85344124,nan,nan,2.4913487,1676
1658,104,1678.842105,2.4547787,88.65251279,nan,nan,2.5018506,1676
1658,105,1678.842105,2.4690163,88.78617859,nan,nan,2.5686615,1676
1658,106,1678.526316,2.4610271,88.89140582,nan,nan,2.5177372,1676
1658,107,1678.684211,2.4470437,88.90022135,nan,nan,2.5295172,1676
1658,108,1679.157895,2.4595575,89.00054479,nan,nan,2.518668,1676
1658,109,1679.157895,2.4441783,88.96684098,nan,nan,2.491434,1676
1658,110,1679.157895,2.43534,88.93650293,nan,nan,2.5132751,1676
1658,111,1679.157895,2.4313488,88.86377311,nan,nan,2.503803,1676
1658,112,1679.789474,2.444879,88.76773286,nan,nan,2.5231123,1676
1658,113,1679.631579,2.4360769,88.66297746,nan,nan,2.482725,1676
1658,114,1679.157895,2.4376175,88.85665035,nan,nan,2.5215805,1676
1658,115,1679.947368,2.4251392,89.08804703,nan,nan,2.508258,1676
1658,116,1679.789474,2.424908,89.09273458,nan,nan,2.4748206,1676
1658,117,1680.736842,2.4338078,89.0210278,nan,nan,2.4830017,1676
1658,118,1681.684211,2.4322371,89.04493999,nan,nan,2.5241435,1694
1658,119,1683.105263,2.433268,89.22374082,2.541314,1694,2.4847357,1700
1658,120,1683.894737,2.4273374,88.88479781,nan,nan,2.5035644,1700
1658.157895,121,1685.789474,2.4305484,88.89491153,nan,nan,2.4856193,1700
1658.315789,122,1686.736842,2.4254372,89.17015982,nan,nan,2.5199015,1700
1658.315789,123,1689.578947,2.4407291,89.39667511,nan,nan,2.483193,1700
1658.947368,124,1692.263158,2.4331124,89.23779726,nan,nan,2.4890523,1700
1659.105263,125,1694,2.426456,89.25821161,nan,nan,2.4481726,1700
1660.526316,126,1695.263158,2.4195144,89.41766739,nan,nan,2.5080152,1700
1660.842105,127,1697.473684,2.4201162,89.21478701,nan,nan,2.501217,1700
1662.894737,128,1697.947368,2.4273834,89.52678013,nan,nan,2.5016854,1700
1665.263158,129,1701.105263,2.426633,89.61036396,nan,nan,2.4576926,1700
1666.684211,130,1700.631579,2.4184203,89.57076192,nan,nan,2.521419,1700
1669.052632,131,1704.263158,2.4379294,89.8538487,nan,nan,2.4725924,1700
1671.578947,132,1705.842105,2.41773,89.73646665,nan,nan,2.4783003,1700
1673.473684,133,1707.894737,2.4103897,89.86593628,nan,nan,2.4746687,1700
1677.578947,134,1708.526316,2.4076083,90.16010594,nan,nan,2.4813344,1700
1678.368421,135,1711.210526,2.4134681,90.05802226,nan,nan,2.4895132,1706
1680.421053,136,1710.736842,2.4151847,90.21898174,nan,nan,2.5050957,1700
1683.105263,137,1712.947368,2.4085736,90.46822429,nan,nan,2.4980652,1718
1685.947368,138,1716.263158,2.41634,90.3338089,nan,nan,2.4830065,1730
1687.526316,139,1717.526316,2.4039938,90.74673343,2.556439,1748,2.4846885,1724
1690.526316,140,1718.473684,2.412426,90.59114695,nan,nan,2.4674408,1730
1691.631579,141,1718.473684,2.408594,90.77433729,nan,nan,2.4613779,1748
1693.842105,142,1721.947368,2.4089546,90.61555624,nan,nan,2.474735,1772
1694.157895,143,1723.526316,2.395149,90.98997951,nan,nan,2.4828176,1772
1698.421053,144,1723.368421,2.408958,90.86523485,nan,nan,2.4637175,1778
1700.157895,145,1726.210526,2.4149756,91.08182192,nan,nan,2.4790814,1808
1703,146,1727.631579,2.395341,91.13792634,nan,nan,2.475954,1790
1705.052632,147,1730.631579,2.3931918,91.08223629,nan,nan,2.4537818,1802
1704.263158,148,1732.368421,2.4046936,91.1731143,nan,nan,2.5101943,1814
1707.263158,149,1739.157895,2.407773,91.15723419,nan,nan,2.473915,1832
1707.578947,150,1743.894737,2.3939753,91.37494135,nan,nan,2.4729493,1814
1709.315789,151,1748.631579,2.3936193,91.48268914,nan,nan,2.4641461,1838
1715,152,1753.210526,2.3865898,91.86367178,nan,nan,2.4721804,1832
1715.473684,153,1760.789474,2.3988314,92.08085561,nan,nan,2.4624383,1838
1717.842105,154,1769.157895,2.3895013,92.29690456,nan,nan,2.4370723,1838
1717.052632,155,1773.421053,2.3819299,92.48792124,nan,nan,2.4613879,1838
1725.894737,156,1780.526316,2.3846936,92.88908315,nan,nan,2.4523177,1838
1725.421053,157,1787.789474,2.3937712,92.93871617,nan,nan,2.4604504,1844
1731.421053,158,1798.684211,2.3941588,93.20838857,nan,nan,2.463856,1856
1732.526316,159,1804.210526,2.3936825,93.35245204,2.5389502,1940,2.466836,1874
1743.736842,160,1812.894737,2.390103,93.90492105,nan,nan,2.4635644,1898
1745.315789,161,1818.105263,2.3857934,94.20634222,nan,nan,2.4582646,1922
1753.526316,162,1826.947368,2.3887146,94.45263124,nan,nan,2.4461305,1934
1760.473684,163,1834.842105,2.3802032,94.91656041,nan,nan,2.4849412,1934
1770.105263,164,1847.789474,2.385096,95.44988537,nan,nan,2.4462671,1970
1775.789474,165,1850.473684,2.3792818,95.42301297,nan,nan,2.4620643,2000
1784.157895,166,1857.894737,2.3816967,95.88379979,nan,nan,2.475678,2006
1791.263158,167,1864.684211,2.3891742,96.31633615,nan,nan,2.4585931,2006
1806.894737,168,1872.578947,2.3836606,96.98444366,nan,nan,2.4605703,2006
1813.368421,169,1879.526316,2.3765652,97.1289866,nan,nan,2.4578285,2006
1823.473684,170,1884.894737,2.3848507,97.38686419,nan,nan,2.4574704,2006
1829,171,1886.631579,2.3774605,97.95366979,nan,nan,2.469937,2006
1843.368421,172,1891.052632,2.3759968,98.18502927,nan,nan,2.5013123,2030
1851.105263,173,1899.736842,2.3780968,98.51069403,nan,nan,2.4606106,2006
1859.631579,174,1904.631579,2.374041,98.9908917,nan,nan,2.4602983,2012
1862,175,1908.894737,2.3788025,99.26075935,nan,nan,2.4423373,2006
1868,176,1910,2.3782377,99.30410576,nan,nan,2.4537122,2012
1876.684211,177,1913.315789,2.383301,99.71426415,nan,nan,2.4613,2018
1878.894737,178,1916,2.3855653,99.69405484,nan,nan,2.450158,2030
1883.631579,179,1920.578947,2.380742,100.1183512,2.5217912,2054,2.450606,2030
1892,180,1921.052632,2.3687317,100.3904078,nan,nan,2.4177978,2048
1899.263158,181,1925.789474,2.3669212,100.7821052,nan,nan,2.4613736,2054
1904.473684,182,1933.368421,2.3767354,100.8492706,nan,nan,2.441163,2054
1909.684211,183,1936.368421,2.3704855,101.1035812,nan,nan,2.4379783,2054
1914.736842,184,1941.894737,2.3682318,101.3347497,nan,nan,2.4504771,2054
1920.894737,185,1951.052632,2.3700671,101.7073894,nan,nan,2.420254,2054
1927.052632,186,1955.157895,2.370372,102.2398603,nan,nan,2.4571078,2054
1935.105263,187,1957.368421,2.35848,102.4474792,nan,nan,2.4374595,2054
1937.473684,188,1966.526316,2.3765001,102.8672097,nan,nan,2.436008,2054
1939.210526,189,1974.263158,2.360965,102.7839899,nan,nan,2.4614568,2054
1944.894737,190,1979.473684,2.3798769,102.952996,nan,nan,2.4553468,2054
1951.526316,191,1982.157895,2.3644123,103.0167818,nan,nan,2.470554,2054
1954.842105,192,1989.578947,2.3592527,103.3466837,nan,nan,2.4475029,2054
1957.684211,193,1993.052632,2.3647819,103.5056076,nan,nan,2.4224555,2054
1964.157895,194,1997.789474,2.3606243,103.7863483,nan,nan,2.4648106,2054
1963.210526,195,2004.105263,2.3676748,103.7313392,nan,nan,2.4534903,2054
1973.631579,196,2009.789474,2.3522673,104.3621821,nan,nan,2.4302619,2054
1979,197,2012.947368,2.3641326,104.5771923,nan,nan,2.429132,2054
1984.526316,198,2024.631579,2.3546302,105.0540171,nan,nan,2.4310865,2054
1989.894737,199,2025.421053,2.3566747,105.2185731,2.4938595,2078,2.4162574,2054
1995.421053,200,2031.578947,2.3566456,105.3667035,nan,nan,2.4555898,2054
1997.315789,201,2032.210526,2.363365,105.5276713,nan,nan,2.4274197,2054
2000.789474,202,2042.315789,2.348446,105.8053892,nan,nan,2.408738,2054
2009,203,2045.157895,2.3690152,106.0294585,nan,nan,2.43525,2054
2013.421053,204,2050.210526,2.3612022,106.338645,nan,nan,2.4292176,2060
2017.526316,205,2055.263158,2.3616035,106.5599473,nan,nan,2.4295993,2066
2022.736842,206,2059.526316,2.362548,106.4325573,nan,nan,2.4183717,2078
