backward_nfe,epoch,forward_nfe,loss,train_time,ts_loss,ts_nfe,va_loss,va_nfe
1282.684211,0,1282.684211,9.727248,101.4338267,7.682601,1280,7.737074,1280
1280,1,1280,6.439387,102.1080699,nan,nan,5.384412,1280
1280,2,1280,4.869253,101.9989274,nan,nan,4.5918245,1280
1280,3,1280,4.260809,102.3901446,nan,nan,4.047301,1280
1280,4,1280,3.7656908,100.9752858,nan,nan,3.564555,1280
1280,5,1280,3.3246167,101.0791445,nan,nan,3.182747,1280
1280,6,1280,3.0376294,100.979038,nan,nan,2.9606931,1280
1280,7,1280,2.8534737,101.1910167,nan,nan,2.8179176,1280
1280,8,1280,2.7169552,102.2838311,nan,nan,2.687211,1280
1280,9,1280,2.6024122,102.1286018,nan,nan,2.5749252,1280
1280,10,1280,2.5033236,102.2449744,nan,nan,2.472058,1280
1280,11,1280,2.4075541,102.2916353,nan,nan,2.3880951,1280
1280,12,1280,2.3230295,102.1446679,nan,nan,2.310984,1280
1280,13,1280,2.2516997,102.0625029,nan,nan,2.2350652,1280
1280,14,1280,2.1887822,102.4670541,nan,nan,2.186325,1280
1280,15,1280,2.1313863,102.393096,nan,nan,2.1241052,1280
1280,16,1280,2.0822995,102.4046273,nan,nan,2.0692239,1280
1280,17,1280,2.0407505,102.3742192,nan,nan,2.0302165,1280
1280,18,1280,2.0069442,102.3553152,nan,nan,2.020717,1280
1280,19,1280,1.9758412,102.7734206,2.0174544,1280,1.9790504,1280
1280,20,1280,1.9507872,103.9220138,nan,nan,1.9541372,1280
1280,21,1280,1.9259256,103.8370051,nan,nan,1.9298323,1280
1280,22,1280,1.9042784,104.0493402,nan,nan,1.9225342,1280
1280,23,1280,1.8842129,104.0992844,nan,nan,1.8972586,1280
1280,24,1280,1.8671185,104.022836,nan,nan,1.8770821,1280
1280,25,1280,1.8518131,104.2079039,nan,nan,1.860632,1280
1280,26,1280,1.8418621,103.9280608,nan,nan,1.8583273,1280
1280,27,1280,1.8231941,103.7578495,nan,nan,1.834423,1280
1280,28,1280,1.8082715,104.1617186,nan,nan,1.8187803,1280
1280,29,1280,1.7977368,104.004086,nan,nan,1.8185862,1280
1280,30,1280,1.7914032,104.1169176,nan,nan,1.7974964,1280
1280,31,1280,1.7760808,103.9437635,nan,nan,1.7869611,1280
1280,32,1280,1.7672468,104.2468116,nan,nan,1.79479,1280
1280,33,1280,1.7588993,104.2588801,nan,nan,1.7694323,1280
1280,34,1280,1.7472287,104.081382,nan,nan,1.7646575,1280
1280,35,1280,1.7393867,104.2205787,nan,nan,1.7567635,1280
1280,36,1280,1.7347028,103.8312614,nan,nan,1.7491268,1280
1280,37,1280,1.7266403,104.0012085,nan,nan,1.7311901,1280
1280,38,1280,1.7168709,103.9259696,nan,nan,1.722412,1280
1280,39,1280,1.7106587,103.7811201,1.766051,1280,1.7223846,1280
1280,40,1280,1.7043815,104.4526019,nan,nan,1.7149211,1280
1280,41,1280,1.6996237,104.392401,nan,nan,1.7139391,1280
1280,42,1280,1.6905072,104.3291109,nan,nan,1.6922044,1280
1280,43,1280,1.6838562,104.2196159,nan,nan,1.6958699,1280
