cell_gradient_2norm,epoch,forward_nfe,forward_time,mean_batch_nfe,mean_batch_time,model_gradient_2norm,test_forecast_loss,test_loss,test_nfe,test_time,train_forecast_loss,train_loss,validation_foreast_loss,validation_loss,validation_nfe,validation_time
4.1943917,35,1560.25,0.920188963,4863.75,6.120214432,9.274681,0.16242182,2.1643562,1570,2.12661171,0.15668426,2.2828202,0.17784974,2.114428,1558,2.067325115
6.02293,36,1567,0.81472224,4911,5.575855225,12.19347,0.16145323,2.1701746,1576,2.135814428,0.15673026,2.2761445,0.17599122,2.1216145,1570,2.08863616
6.1649485,37,1576,0.820953339,4894.5,5.518777192,12.575145,0.17141174,2.1818285,1588,2.113939047,0.1564228,2.2797256,0.18399285,2.1369548,1564,2.127331495
7.0504313,38,1576,0.816176355,4905,5.457436591,12.085495,0.15973489,2.1714225,1582,2.09481287,0.1547625,2.2812185,0.17773044,2.121562,1558,1.943644524
5.124851,39,1591,0.879445642,4928.25,5.739476413,10.125263,0.15832916,2.162612,1582,2.027841091,0.14896569,2.274416,0.17412814,2.115766,1576,2.107013941
7.3773627,40,1592.5,0.832779408,4945.5,5.790236831,11.718562,0.16129258,2.1780806,1594,2.060259342,0.1497033,2.2672257,0.17723563,2.131671,1606,2.16566062
5.3728647,41,1594,0.908858925,4957.5,6.049305469,9.830572,0.1612142,2.16441,1618,2.017848492,0.14890252,2.2660806,0.17771417,2.1186416,1606,2.044544935
5.26276,42,1615,0.840213478,5019,5.70857048,11.676899,0.17013492,2.148263,1624,2.094151735,0.15372573,2.2510865,0.18578313,2.1011744,1606,2.049839973
5.843188,43,1621,0.845020264,5056.5,5.724209458,15.592981,0.16506518,2.1675954,1642,2.147006273,0.15977024,2.2452145,0.188223,2.1224866,1624,2.104961157
11.86141,44,1627.75,0.911531806,5061.75,6.037563264,20.014862,0.1592265,2.1515956,1618,2.012423277,0.15688488,2.264361,0.18074161,2.1094384,1630,2.167690277
9.904575,45,1614.25,0.825802743,5021.25,5.592634976,15.784684,0.1610696,2.1887143,1618,2.262811661,0.15242335,2.2522564,0.18199392,2.141574,1606,2.10739398
4.3484426,46,1621,0.943327606,5028.75,6.366735011,9.42812,0.16089696,2.1585188,1654,2.265563488,0.14568156,2.2642677,0.17887753,2.1130786,1600,2.083465099
