cell_gradient_2norm,epoch,forward_nfe,forward_time,mean_batch_nfe,mean_batch_time,model_gradient_2norm,test_forecast_loss,test_loss,test_nfe,test_time,train_forecast_loss,train_loss,validation_foreast_loss,validation_loss,validation_nfe,validation_time
19.692884,25.0,2610.25,1.3583474159240723,4493.75,3.9202743768692017,36.1606,0.21543804,1.510442,2662.0,2.6155600547790527,0.22093375,1.6358192,0.22829536,1.4780812,2692.0,2.627894639968872
15.2176075,26.0,2634.25,1.4477672278881073,4521.5,4.116983383893967,24.888248,0.19304448,1.3989172,2680.0,2.7332680225372314,0.19193898,1.4665371,0.18421221,1.3665493,2728.0,2.788632392883301
22.169327,27.0,2644.75,1.3935717642307281,4541.75,4.004401296377182,30.780918,0.23092958,1.265167,2674.0,2.753283977508545,0.18582228,1.3676845,0.22010377,1.235099,2728.0,3.0286624431610107
11.494011,28.0,2637.25,1.359482318162918,4517.0,3.9043277204036713,23.540436,0.21105115,1.2459972,2650.0,2.711987018585205,0.19120553,1.2827647,0.21694021,1.2101917,2698.0,2.819822072982788
15.277582,29.0,2653.0,1.4007820785045624,4528.25,3.998622477054596,24.596611,0.20271876,1.1742514,2674.0,3.0679702758789062,0.17777513,1.2129456,0.18754904,1.1470954,2716.0,3.0374526977539062
6.829882,30.0,2665.0,1.399099886417389,4564.25,4.035801410675049,14.665678,0.18541938,1.1112919,2680.0,2.846652030944824,0.16178626,1.1658965,0.19090599,1.0900817,2728.0,3.1082494258880615
10.119195,31.0,2670.25,1.4332489967346191,4563.5,4.0989052057266235,21.044266,0.16915289,1.0617135,2686.0,2.6706430912017822,0.16733085,1.1059608,0.16706552,1.0450348,2716.0,2.783970594406128
7.001819,32.0,2658.25,1.4150884747505188,4526.0,4.02118581533432,15.436274,0.15872136,1.0751873,2662.0,2.8309309482574463,0.15067984,1.0736787,0.15977728,1.0466557,2716.0,2.8322486877441406
10.432457,33.0,2647.0,1.3942908942699432,4499.75,4.0617595911026,21.671421,0.17082295,1.0601473,2662.0,2.7508459091186523,0.16908039,1.0667119,0.1642133,1.0501622,2704.0,2.823375940322876
16.648193,34.0,2644.75,1.4163394272327423,4500.5,4.07152846455574,25.368572,0.26344845,1.0217905,2638.0,3.085282802581787,0.21630138,1.0143375,0.2512599,1.0186353,2674.0,2.9279184341430664
14.205805,35.0,2634.25,1.579748660326004,4481.75,4.535647630691528,21.028606,0.16114832,1.0198452,2644.0,3.083636999130249,0.18836614,1.035084,0.16723928,0.9834757,2674.0,3.1348283290863037
7.5967007,36.0,2620.75,1.4101449251174927,4464.5,4.137809634208679,14.65069,0.17843837,0.9787086,2656.0,2.6290783882141113,0.1546357,1.0211093,0.1732346,0.95126987,2704.0,2.7592825889587402
3.992236,37.0,2629.75,1.466378927230835,4475.75,4.266152113676071,12.704163,0.15906948,0.93963397,2656.0,2.7966787815093994,0.15198138,0.95028865,0.16576831,0.91162574,2698.0,2.807363510131836
