cell_gradient_2norm,epoch,forward_nfe,forward_time,mean_batch_nfe,mean_batch_time,model_gradient_2norm,test_forecast_loss,test_loss,test_nfe,test_time,train_forecast_loss,train_loss,validation_foreast_loss,validation_loss,validation_nfe,validation_time
738.463,0.0,2114.5,1.0579062104225159,3861.5,3.308278888463974,1216.9382,0.8332118,1.9684358,2206.0,2.418538808822632,3.7464068,2.8124857,0.817611,1.9460574,2206.0,2.186492443084717
33.951714,1.0,2293.0,1.173229068517685,4121.0,3.5528759360313416,60.38627,0.5722246,2.0958884,2284.0,2.3127522468566895,0.7490902,2.2263489,0.5815726,2.0753431,2320.0,2.335566520690918
10.499299,2.0,2277.25,1.2758842706680298,4105.25,3.7853385508060455,31.462442,0.44227916,2.18468,2380.0,2.5180060863494873,0.529397,2.2576172,0.4962228,2.1628406,2416.0,2.4288530349731445
67.99095,3.0,2322.25,1.1749903559684753,4157.0,3.5245478749275208,130.04866,0.39042163,2.1998706,2374.0,2.651947021484375,0.5560206,2.3475075,0.45018446,2.1616764,2386.0,2.5708343982696533
18.50927,4.0,2329.0,1.153334379196167,4163.0,3.463656932115555,44.80935,0.32260835,2.0933738,2362.0,2.802586555480957,0.35292473,2.2779827,0.34113425,2.0645456,2428.0,2.361233711242676
14.46175,5.0,2347.0,1.2938618957996368,4184.0,3.8227325677871704,29.663647,0.33271077,2.1726277,2464.0,2.465904474258423,0.2875193,2.209118,0.35069752,2.1297896,2482.0,2.526625633239746
25.724813,6.0,2370.25,1.1718495190143585,4208.0,3.5010646283626556,68.84275,0.3385554,2.05446,2452.0,2.5026466846466064,0.35325348,2.1470227,0.32745835,2.0117111,2488.0,2.4704861640930176
20.680557,7.0,2383.75,1.2041319608688354,4221.5,3.5850748419761658,57.276352,0.28914422,1.9988115,2440.0,2.479470729827881,0.30164745,2.1405437,0.2906475,1.9611299,2488.0,2.5672943592071533
18.550236,8.0,2389.0,1.2039127349853516,4226.75,3.5880594849586487,41.35111,0.27335685,1.9392767,2476.0,2.5156941413879395,0.25070733,2.1190212,0.27421862,1.9048778,2494.0,2.934955358505249
14.755381,9.0,2386.75,1.2499253451824188,4222.25,3.6806741654872894,35.75679,0.27051485,1.9480243,2512.0,2.5480308532714844,0.23312862,2.048293,0.27728543,1.912954,2536.0,2.5721683502197266
16.933735,10.0,2416.0,1.2102442979812622,4253.0,3.5936963856220245,50.326416,0.24622025,1.7991924,2542.0,2.598174810409546,0.2615388,1.9554482,0.23916167,1.7608709,2566.0,2.665731430053711
15.464293,11.0,2454.25,1.2350940108299255,4295.0,3.6387041807174683,35.720646,0.22301063,1.7373827,2566.0,2.542633533477783,0.21970102,1.8676653,0.2189005,1.7067198,2602.0,2.5945241451263428
11.531231,12.0,2502.25,1.2399797141551971,4340.0,3.5956954061985016,34.342022,0.21304499,1.5468075,2602.0,2.6495044231414795,0.19853961,1.7365913,0.20888141,1.5168631,2650.0,2.6612627506256104
8.047748,13.0,2573.5,1.3126286566257477,4418.0,3.7151170670986176,28.00494,0.22012512,1.3653983,2644.0,2.6367688179016113,0.18834561,1.540895,0.20896915,1.3453398,2674.0,2.6366453170776367
20.804386,14.0,2610.25,1.3466069102287292,4451.75,3.869201213121414,39.650856,0.22601125,1.2945986,2638.0,2.739407777786255,0.21424747,1.4072418,0.21820697,1.2724915,2656.0,2.9703152179718018
21.479866,15.0,2589.25,1.2990685403347015,4437.5,3.7328594028949738,41.285137,0.21493341,1.2618113,2632.0,2.5892460346221924,0.22249317,1.3084526,0.19791938,1.242975,2662.0,2.7410788536071777
7.3513517,16.0,2581.0,1.3841319680213928,4427.75,3.9684970676898956,19.179031,0.19258441,1.1997824,2626.0,3.0072619915008545,0.2117055,1.2187185,0.18275471,1.1786923,2674.0,2.8780927658081055
5.670965,17.0,2607.25,1.497560054063797,4462.25,4.282594561576843,16.014656,0.20198444,1.0595076,2668.0,2.760664701461792,0.17417979,1.1404171,0.19259611,1.0422405,2692.0,2.65954327583313
9.846203,18.0,2640.25,1.4374982714653015,4527.5,4.164102405309677,24.034403,0.19670884,0.9328795,2698.0,2.727254867553711,0.17380354,1.0082724,0.19404182,0.9153745,2710.0,2.6702659130096436
15.662436,19.0,2660.5,1.3322961926460266,4607.0,3.875095158815384,47.743355,0.1770452,0.8808445,2728.0,2.8899660110473633,0.18701327,0.9375105,0.17070034,0.8564247,2728.0,2.8266682624816895
11.752462,20.0,2641.75,1.3601523637771606,4556.0,4.0173216462135315,35.91404,0.15883517,0.8643867,2686.0,2.860309362411499,0.16796167,0.87260365,0.16073461,0.84677804,2698.0,2.7457306385040283
7.114064,21.0,2623.75,1.4368207454681396,4511.0,4.2017375230789185,18.185146,0.15134159,0.84289587,2680.0,2.8361947536468506,0.13880885,0.8745484,0.14606495,0.8263017,2716.0,3.099008798599243
7.0443277,22.0,2648.5,1.3180422186851501,4548.5,3.8391058444976807,24.480667,0.15414442,0.8133459,2698.0,2.7742669582366943,0.14646699,0.8370837,0.15127489,0.79520416,2704.0,2.876634359359741
14.564318,23.0,2650.0,1.3212869465351105,4561.25,3.882943272590637,27.333622,0.15906073,0.7567928,2734.0,3.0247745513916016,0.14271721,0.80999804,0.15226488,0.738258,2752.0,2.8007678985595703
8.0379715,24.0,2662.75,1.4921135604381561,4601.0,4.323917508125305,29.51572,0.12151086,0.754158,2716.0,2.8083486557006836,0.14396517,0.7578204,0.12532243,0.73504364,2728.0,2.7824809551239014
3.2354984,25.0,2673.25,1.3380471467971802,4603.25,3.9435175955295563,18.699474,0.18161045,0.71977544,2770.0,2.793567657470703,0.115094885,0.741658,0.16786525,0.7048281,2788.0,2.93333101272583
9.613033,26.0,2675.5,1.492770403623581,4607.75,4.295237869024277,36.854362,0.13212527,0.7068109,2698.0,2.7370595932006836,0.14651135,0.72156894,0.13855672,0.6851846,2722.0,3.1014838218688965
7.0931897,27.0,2647.75,1.5073498785495758,4539.5,4.350460976362228,17.63443,0.1335417,0.6592843,2716.0,2.8064961433410645,0.119886234,0.6935408,0.13456932,0.6479018,2722.0,2.7623071670532227
5.4570084,28.0,2675.5,1.3226841688156128,4619.0,3.907424181699753,17.04319,0.13847981,0.6300211,2758.0,2.8380675315856934,0.1157469,0.6549909,0.13468033,0.6145184,2770.0,2.7958948612213135
10.268256,29.0,2676.25,1.331339955329895,4616.0,3.9024281203746796,27.198332,0.11672331,0.57800126,2704.0,2.8436450958251953,0.1278896,0.6304573,0.11795544,0.5661688,2728.0,2.7713887691497803
5.727496,30.0,2653.75,1.358420044183731,4563.5,3.9480774998664856,16.417427,0.12860487,0.5529872,2740.0,2.7516603469848633,0.12244403,0.5812783,0.11603772,0.54261804,2758.0,2.8010199069976807
7.3302135,31.0,2664.25,1.3387161493301392,4602.5,3.89405220746994,21.225515,0.13804767,0.5418024,2728.0,2.76785945892334,0.13026543,0.565805,0.13347843,0.5244264,2728.0,2.701306104660034
